source,task,category,ability,answer,pred,raw,correct
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,D,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,A,[[A]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,D,[[D]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,D,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,D,D,[[D]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,B,B,[[B]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,A,A,[[A]],1
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,A,B,[[B]],0
ToMi,location-belief,Belief,Location False Beliefs,C,C,[[C]],1
ToMi,location-belief,Belief,Location False Beliefs,B,C,[[C]],0
ToMi,location-belief,Belief,Location False Beliefs,A,D,[[D]],0
